weed_count,date,client,user,weed diameter,size,height,weed placement,weed type,weed name,weed applied
73,2024-02-02,cliente1,yo,10.0,78.5,,Surco,HA,Xanthium cavanillesii,1.0
74,2024-02-02,cliente1,yo,20.0,314.0,,Surco,G,Maíz voluntario,1.0
75,2024-02-02,cliente1,yo,10.0,78.5,,Surco,HA,Xanthium cavanillesii,1.0
76,2024-02-02,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1.0
77,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1.0
78,2024-02-02,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,1.0
79,2024-02-02,cliente1,yo,,15.0,,Entre surco,HA,Xanthium cavanillesii,0.0
80,2024-02-02,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1.0
81,2024-02-02,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,0.0
82,2024-02-02,cliente1,yo,,20.0,,Surco,HA,Xanthium cavanillesii,1.0
83,2024-02-02,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1.0
84,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1.0
85,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,0.0
86,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1.0
87,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1.0
88,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1.0
89,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1.0
90,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,0.0
91,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1.0
92,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1.0
93,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,0.0
94,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,0.0
95,2024-02-02,cliente1,yo,10.0,78.5,,Entre surco,G,Maíz voluntario,1.0
96,2024-02-02,cliente1,yo,10.0,78.5,,Entre surco,G,Maíz voluntario,0.0
97,2024-02-02,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1.0
98,2024-02-02,cliente1,yo,10.0,78.5,,Entre surco,G,Maíz voluntario,1.0
99,2024-02-02,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1.0
100,2024-02-02,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,1.0
101,2024-02-02,cliente1,yo,10.0,78.5,,Surco,HA,Bassia scoparia,1.0
102,2024-02-02,cliente1,yo,,9.0,,Surco,G,Maíz voluntario,1.0
103,2024-02-02,cliente1,yo,15.0,176.63,,Entre surco,HA,Bassia scoparia,1.0
104,2024-02-02,cliente1,yo,,25.0,,Entre surco,HA,Bassia scoparia,1.0
105,2024-02-02,cliente1,yo,,25.0,,Entre surco,G,Maíz voluntario,1.0
106,2024-02-02,cliente1,yo,10.0,78.5,,Entre surco,HA,Conyza sp,1.0
107,2024-02-02,cliente1,yo,,25.0,,Surco,HA,Conyza sp,1.0
108,2024-02-02,cliente1,yo,,20.0,,Entre surco,HA,Xanthium cavanillesii,0.0
109,2024-02-02,cliente1,yo,,9.0,,Surco,G,Maíz voluntario,0.0
110,2024-02-02,cliente1,yo,,0.0,,,,,
111,2024-02-02,cliente1,yo,,0.0,,,HA,Bassia scoparia,1.0
112,2024-02-02,cliente1,yo,,20.0,,Surco,G,Maíz voluntario,1.0
113,2024-02-02,cliente1,yo,,7.0,,Surco,G,Maíz voluntario,1.0
114,2024-02-02,cliente1,yo,15.0,176.63,,Entre surco,G,Maíz voluntario,1.0
115,2024-02-02,cliente1,yo,10.0,78.5,,Entre surco,G,Maíz voluntario,0.0
116,2024-02-02,cliente1,yo,,0.0,,Entre surco,HA,Bassia scoparia,1.0
117,2024-02-02,cliente1,yo,,0.0,,Surco,HA,Bassia scoparia,1.0
118,2024-02-02,cliente1,yo,,25.0,,Entre surco,G,,1.0
119,2024-02-02,cliente1,yo,30.0,706.5,,Entre surco,HA,Bassia scoparia,1.0
120,2024-02-02,cliente1,yo,30.0,706.5,,Entre surco,HA,Bassia scoparia,1.0
121,2024-02-02,cliente1,yo,50.0,1962.5,,Entre surco,HA,Bassia scoparia,1.0
122,2024-02-02,cliente1,yo,20.0,314.0,,Entre surco,HA,Bassia scoparia,1.0
123,2024-02-02,cliente1,yo,25.0,490.63,,Entre surco,HA,Xanthium cavanillesii,0.0
124,2024-02-02,cliente1,yo,,25.0,,Surco,HA,Conyza sp,1.0
125,2024-02-02,cliente1,yo,10.0,78.5,,Entre surco,HA,Bassia scoparia,1.0
126,2024-02-02,cliente1,yo,15.0,176.63,,Surco,HA,Bassia scoparia,1.0
127,2024-02-02,cliente1,yo,,25.0,,Entre surco,G,Maíz voluntario,0.0
128,2024-02-02,cliente1,yo,10.0,78.5,,Surco,G,Maíz voluntario,1.0
129,2024-02-02,cliente1,yo,,25.0,,Entre surco,G,Maíz voluntario,1.0
130,2024-02-02,cliente1,yo,15.0,176.63,,Surco,HA,Bassia scoparia,1.0
131,2024-02-02,cliente1,yo,50.0,1962.5,,Entre surco,HA,Bassia scoparia,1.0
132,2024-02-02,cliente1,yo,,25.0,,Entre surco,HA,Bassia scoparia,1.0
133,2024-02-02,cliente1,yo,,25.0,,Surco,G,Maíz voluntario,1.0
134,2024-02-02,cliente1,yo,,20.0,,Entre surco,G,Maíz voluntario,1.0
135,2024-02-02,cliente1,yo,,20.0,,Entre surco,G,Maíz voluntario,1.0
136,2024-02-02,cliente1,yo,,20.0,,Surco,HA,Xanthium cavanillesii,0.0
137,2024-02-02,cliente1,yo,20.0,314.0,,Entre surco,HA,Bassia scoparia,1.0
138,2024-02-02,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1.0
139,2024-02-02,cliente1,yo,,25.0,,Surco,G,Maíz voluntario,1.0
140,2024-02-02,cliente1,yo,10.0,78.5,,Entre surco,HA,Bassia scoparia,0.0
141,2024-02-02,cliente1,yo,,0.0,,,,,
142,2024-02-02,cliente1,yo,10.0,78.5,,Surco,HA,Xanthium cavanillesii,1.0
143,2024-02-02,cliente1,yo,20.0,314.0,,Entre surco,HA,Bassia scoparia,1.0
144,2024-02-02,cliente1,yo,,20.0,,Surco,HA,Bassia scoparia,1.0
145,2024-02-02,cliente1,yo,,15.0,,Entre surco,G,Maíz voluntario,1.0
146,2024-02-02,cliente1,yo,20.0,314.0,,Surco,HA,Bassia scoparia,1.0
147,2024-02-02,cliente1,yo,,0.0,,,,,
148,2024-02-02,cliente1,yo,,0.0,,Entre surco,HA,Bassia scoparia,1.0
149,2024-02-02,cliente1,yo,,0.0,,Surco,HA,Bassia scoparia,1.0
150,2024-02-02,cliente1,yo,,0.0,,Entre surco,HA,Bassia scoparia,1.0
